date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:50:22	13256/13256	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2005%20Jun%202018%2009:32:26%20GMT	https://public-assets.envato-static.com/assets/market/core/head-df4183f2f1b84caa8ad6707c533e562f18a9eaae2b2e4d2081cf439c23343ad3.js	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/assets/market/core/head-df4183f2f1b84caa8ad6707c533e562f18a9eaae2b2e4d2081cf439c23343ad3.js	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:22	68/68	---M--	200	added ('OK')	image/png	etag:%22978c1bee49d7ad5fc1a4d81099b13e18%22	https://public-assets.envato-static.com/assets/common/transparent-1px-93ae7d494fad0fb30cbf3ae746a39c4bc7a0f8bbf87fbb587a3f3c01f3c5ce20.png	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/assets/common/transparent-1px-93ae7d494fad0fb30cbf3ae746a39c4bc7a0f8bbf87fbb587a3f3c01f3c5ce20.png	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:24	135423/135423	---MCZ	200	added ('OK')	text/html	etag:W/%22b4b0a28970d1d16ff4f25de5f86070f4%22	https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/reviews/21153150	C:/My%20Web%20Sites/SmartHR2/themeforest.net/item/smarthr-bootstrap-admin-panel-template/reviews/21153150.html	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:24	145821/145821	---MCZ	200	added ('OK')	text/html	etag:W/%22fa62c1393e1432f14dbe66ce5066f08b%22	https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150/comments	C:/My%20Web%20Sites/SmartHR2/themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150/comments.html	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:25	127996/127996	---MCZ	200	added ('OK')	text/html	etag:W/%223bdd8b4b0498ce9bc767850229e4198a%22	https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150/support	C:/My%20Web%20Sites/SmartHR2/themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150/support.html	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:26	3880/3880	---M--	200	added ('OK')	image/png	etag:%22b6e257b66f7b6ef5a9a45c4831f01254%22	https://s3.envato.com/files/259307604/thumbnail%20new.png	C:/My%20Web%20Sites/SmartHR2/s3.envato.com/files/259307604/thumbnail%20new.png	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:26	170/170	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Mar%202019%2003:50:27%20GMT	https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150	C:/My%20Web%20Sites/SmartHR2/themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:27	20909/20909	---MCZ	200	added ('OK')	text/html	etag:W/%2256366d20a70c2b8296e7544c4a4df1bd%22	https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150	C:/My%20Web%20Sites/SmartHR2/preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150.html	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:28	22986/22986	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Mar%202019%2003:50:28%20GMT	https://previews-themeforest.imgix.net/files/260860336/Banner%20New1.__large_preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&max-h=8000&max-w=590&s=ea61019779862f6caddb77273da54953	C:/My%20Web%20Sites/SmartHR2/previews-themeforest.imgix.net/files/260860336/Banner%20New1.__large_preview1e8d.jpg	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:28	41237/41237	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2003:50:29%20GMT	https://dreamguys.co.in/smarthr/light/index.html	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/light/index.html	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:29	41231/41231	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2003:50:29%20GMT	https://dreamguys.co.in/smarthr/dark/index.html	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/dark/index.html	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:30	41231/41231	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2003:50:30%20GMT	https://dreamguys.co.in/smarthr/blue/index.html	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/blue/index.html	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:30	41231/41231	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2003:50:31%20GMT	https://dreamguys.co.in/smarthr/maroon/index.html	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/maroon/index.html	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:30	41231/41231	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2003:50:31%20GMT	https://dreamguys.co.in/smarthr/orange/index.html	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/orange/index.html	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:30	41231/41231	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2003:50:31%20GMT	https://dreamguys.co.in/smarthr/purple/index.html	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/purple/index.html	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:31	41313/41313	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2003:50:31%20GMT	https://dreamguys.co.in/smarthr/rtl/index.html	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/rtl/index.html	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:31	204510/204510	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2006%20Dec%202018%2002:07:53%20GMT	https://public-assets.envato-static.com/assets/market/core/index-f1d75f96b94dce2bd28a84af8ff1de6d552c20b9b247d9f36de015ea8a2595cb.js	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/assets/market/core/index-f1d75f96b94dce2bd28a84af8ff1de6d552c20b9b247d9f36de015ea8a2595cb.js	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:32	574283/574283	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2028%20Feb%202019%2002:40:59%20GMT	https://public-assets.envato-static.com/assets/market/pages/default/index-eec097291f25bfc01bf3ba9c2406b85b9ae1531798b07aa5b0a495c9213cc2b9.js	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/assets/market/pages/default/index-eec097291f25bfc01bf3ba9c2406b85b9ae1531798b07aa5b0a495c9213cc2b9.js	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:32	1641/1641	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2005%20Mar%202019%2017:19:54%20GMT	https://public-assets.envato-static.com/assets/market/core/lazyload-5315ade2c4aa09869ae52bad5f4e45ea446b86d4365327a7d9ba005397379ac3.js	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/assets/market/core/lazyload-5315ade2c4aa09869ae52bad5f4e45ea446b86d4365327a7d9ba005397379ac3.js	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:33	21/21	---MCZ	404	error ('Not%20Found')	text/javascript	date:Wed,%2006%20Mar%202019%2003:50:33%20GMT	https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/linkid.js	C:/My%20Web%20Sites/SmartHR2/themeforest.net/item/smarthr-bootstrap-admin-panel-template/linkid.24.delayed	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
03:50:33	671/671	---M-Z	200	added ('OK')	text/plain	etag:%229cf-5704f7561fc03-gzip%22	https://dreamguys.co.in/robots.txt		(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:35	1936/1936	---M--	200	added ('OK')	image/png	etag:%22790-57fbbfa438b24%22	https://dreamguys.co.in/smarthr/assets/img/favicon.png	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/img/favicon.png	(from https://dreamguys.co.in/smarthr/)
03:50:37	153182/153182	---M-Z	200	added ('OK')	text/css	etag:%222565e-57fbbf6cd1f22-gzip%22	https://dreamguys.co.in/smarthr/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/css/bootstrap.min.css	(from https://dreamguys.co.in/smarthr/)
03:50:38	28101/28101	---M-Z	200	added ('OK')	text/css	etag:%226dc5-57fbbf6e86357-gzip%22	https://dreamguys.co.in/smarthr/assets/css/line-awesome.min.css	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/css/line-awesome.min.css	(from https://dreamguys.co.in/smarthr/)
03:50:38	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-57fbbf6c8b692-gzip%22	https://dreamguys.co.in/smarthr/assets/css/aos.css	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/css/aos.css	(from https://dreamguys.co.in/smarthr/)
03:50:38	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-57fbbf704530d-gzip%22	https://dreamguys.co.in/smarthr/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/css/owl.carousel.min.css	(from https://dreamguys.co.in/smarthr/)
03:50:39	936/936	---M-Z	200	added ('OK')	text/css	etag:%223a8-57fbbf716a23e-gzip%22	https://dreamguys.co.in/smarthr/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/assets/css/owl.theme.default.min.css	(from https://dreamguys.co.in/smarthr/)
